Passer,Receiver,Passes
Alan,Throwaway,3.0
Alan,Aze,4.0
Alan,Brandon,1.0
Alan,Cafi,0.0
Alan,Chris,1.0
Alan,Connor,0.0
Alan,Dave,0.0
Alan,Davide,0.0
Alan,Flex,0.0
Alan,Flo,5.0
Alan,Franz,0.0
Alan,Hans,8.0
Alan,Kitchen,0.0
Alan,Matze,2.0
Alan,Mike,4.0
Alan,Misch,0.0
Alan,Moritz,0.0
Alan,Mou K.,0.0
Alan,Rainer,2.0
Alan,Rene,0.0
Alan,Walder,0.0
Throwaway,Alan,0.0
Throwaway,Aze,0.0
Throwaway,Brandon,0.0
Throwaway,Cafi,0.0
Throwaway,Chris,0.0
Throwaway,Connor,0.0
Throwaway,Dave,0.0
Throwaway,Davide,0.0
Throwaway,Flex,0.0
Throwaway,Flo,0.0
Throwaway,Franz,0.0
Throwaway,Hans,0.0
Throwaway,Kitchen,0.0
Throwaway,Matze,0.0
Throwaway,Mike,0.0
Throwaway,Misch,0.0
Throwaway,Moritz,0.0
Throwaway,Mou K.,0.0
Throwaway,Rainer,0.0
Throwaway,Rene,0.0
Throwaway,Walder,0.0
Aze,Alan,3.0
Aze,Throwaway,4.0
Aze,Brandon,0.0
Aze,Cafi,0.0
Aze,Chris,4.0
Aze,Connor,0.0
Aze,Dave,0.0
Aze,Davide,0.0
Aze,Flex,4.0
Aze,Flo,14.0
Aze,Franz,0.0
Aze,Hans,10.0
Aze,Kitchen,0.0
Aze,Matze,14.0
Aze,Mike,4.0
Aze,Misch,0.0
Aze,Moritz,0.0
Aze,Mou K.,0.0
Aze,Rainer,2.0
Aze,Rene,0.0
Aze,Walder,0.0
Brandon,Alan,0.0
Brandon,Throwaway,2.0
Brandon,Aze,0.0
Brandon,Cafi,2.0
Brandon,Chris,0.0
Brandon,Connor,3.0
Brandon,Dave,2.0
Brandon,Davide,0.0
Brandon,Flex,0.0
Brandon,Flo,0.0
Brandon,Franz,1.0
Brandon,Hans,0.0
Brandon,Kitchen,3.0
Brandon,Matze,0.0
Brandon,Mike,0.0
Brandon,Misch,2.0
Brandon,Moritz,1.0
Brandon,Mou K.,0.0
Brandon,Rainer,1.0
Brandon,Rene,0.0
Brandon,Walder,1.0
Cafi,Alan,0.0
Cafi,Throwaway,2.0
Cafi,Aze,0.0
Cafi,Brandon,2.0
Cafi,Chris,0.0
Cafi,Connor,0.0
Cafi,Dave,3.0
Cafi,Davide,0.0
Cafi,Flex,0.0
Cafi,Flo,0.0
Cafi,Franz,0.0
Cafi,Hans,0.0
Cafi,Kitchen,0.0
Cafi,Matze,0.0
Cafi,Mike,0.0
Cafi,Misch,1.0
Cafi,Moritz,1.0
Cafi,Mou K.,0.0
Cafi,Rainer,1.0
Cafi,Rene,0.0
Cafi,Walder,0.0
Chris,Alan,3.0
Chris,Throwaway,6.0
Chris,Aze,2.0
Chris,Brandon,0.0
Chris,Cafi,0.0
Chris,Connor,0.0
Chris,Dave,0.0
Chris,Davide,0.0
Chris,Flex,2.0
Chris,Flo,12.0
Chris,Franz,0.0
Chris,Hans,6.0
Chris,Kitchen,0.0
Chris,Matze,2.0
Chris,Mike,3.0
Chris,Misch,0.0
Chris,Moritz,0.0
Chris,Mou K.,0.0
Chris,Rainer,1.0
Chris,Rene,0.0
Chris,Walder,0.0
Connor,Alan,0.0
Connor,Throwaway,2.0
Connor,Aze,0.0
Connor,Brandon,4.0
Connor,Cafi,1.0
Connor,Chris,0.0
Connor,Dave,2.0
Connor,Davide,0.0
Connor,Flex,0.0
Connor,Flo,0.0
Connor,Franz,3.0
Connor,Hans,0.0
Connor,Kitchen,7.0
Connor,Matze,0.0
Connor,Mike,0.0
Connor,Misch,4.0
Connor,Moritz,4.0
Connor,Mou K.,1.0
Connor,Rainer,0.0
Connor,Rene,1.0
Connor,Walder,0.0
Dave,Alan,0.0
Dave,Throwaway,1.0
Dave,Aze,0.0
Dave,Brandon,1.0
Dave,Cafi,2.0
Dave,Chris,0.0
Dave,Connor,2.0
Dave,Davide,0.0
Dave,Flex,0.0
Dave,Flo,0.0
Dave,Franz,2.0
Dave,Hans,0.0
Dave,Kitchen,1.0
Dave,Matze,0.0
Dave,Mike,0.0
Dave,Misch,1.0
Dave,Moritz,0.0
Dave,Mou K.,0.0
Dave,Rainer,0.0
Dave,Rene,0.0
Dave,Walder,3.0
Davide,Alan,0.0
Davide,Throwaway,0.0
Davide,Aze,0.0
Davide,Brandon,0.0
Davide,Cafi,0.0
Davide,Chris,0.0
Davide,Connor,0.0
Davide,Dave,0.0
Davide,Flex,0.0
Davide,Flo,0.0
Davide,Franz,0.0
Davide,Hans,0.0
Davide,Kitchen,0.0
Davide,Matze,0.0
Davide,Mike,0.0
Davide,Misch,0.0
Davide,Moritz,0.0
Davide,Mou K.,0.0
Davide,Rainer,0.0
Davide,Rene,0.0
Davide,Walder,0.0
Flex,Alan,2.0
Flex,Throwaway,4.0
Flex,Aze,1.0
Flex,Brandon,0.0
Flex,Cafi,0.0
Flex,Chris,2.0
Flex,Connor,0.0
Flex,Dave,0.0
Flex,Davide,0.0
Flex,Flo,1.0
Flex,Franz,0.0
Flex,Hans,2.0
Flex,Kitchen,0.0
Flex,Matze,3.0
