Passer,Receiver,PassesPerPoint
Alan,Throwaway,0.06382978723404255
Alan,Aze,0.09523809523809523
Alan,Brandon,1.0
Alan,Cafi,0.0
Alan,Chris,0.022222222222222223
Alan,Connor,0.0
Alan,Dave,0.0
Alan,Davide,0.0
Alan,Flex,0.0
Alan,Flo,0.1111111111111111
Alan,Franz,0.0
Alan,Hans,0.21621621621621623
Alan,Kitchen,0.0
Alan,Matze,0.043478260869565216
Alan,Mike,0.17391304347826086
Alan,Misch,0.0
Alan,Moritz,0.0
Alan,Mou K.,0.0
Alan,Rainer,0.1111111111111111
Alan,Rene,0.0
Alan,Walder,0.0
Throwaway,Alan,0.0
Throwaway,Aze,0.0
Throwaway,Brandon,0.0
Throwaway,Cafi,0.0
Throwaway,Chris,0.0
Throwaway,Connor,0.0
Throwaway,Dave,0.0
Throwaway,Davide,0.0
Throwaway,Flex,0.0
Throwaway,Flo,0.0
Throwaway,Franz,0.0
Throwaway,Hans,0.0
Throwaway,Kitchen,0.0
Throwaway,Matze,0.0
Throwaway,Mike,0.0
Throwaway,Misch,0.0
Throwaway,Moritz,0.0
Throwaway,Mou K.,0.0
Throwaway,Rainer,0.0
Throwaway,Rene,0.0
Throwaway,Walder,0.0
Aze,Alan,0.07142857142857142
Aze,Throwaway,0.07692307692307693
Aze,Brandon,0.0
Aze,Cafi,0.0
Aze,Chris,0.08163265306122448
Aze,Connor,0.0
Aze,Dave,0.0
Aze,Davide,0.0
Aze,Flex,0.17391304347826086
Aze,Flo,0.28
Aze,Franz,0.0
Aze,Hans,0.24390243902439024
Aze,Kitchen,0.0
Aze,Matze,0.2857142857142857
Aze,Mike,0.15384615384615385
Aze,Misch,0.0
Aze,Moritz,0.0
Aze,Mou K.,0.0
Aze,Rainer,0.1111111111111111
Aze,Rene,0.0
Aze,Walder,0.0
Brandon,Alan,0.0
Brandon,Throwaway,0.0392156862745098
Brandon,Aze,0.0
Brandon,Cafi,0.08
Brandon,Chris,0.0
Brandon,Connor,0.10344827586206896
Brandon,Dave,0.0625
Brandon,Davide,0.0
Brandon,Flex,0.0
Brandon,Flo,0.0
Brandon,Franz,0.03333333333333333
Brandon,Hans,0.0
Brandon,Kitchen,0.06818181818181818
Brandon,Matze,0.0
Brandon,Mike,0.0
Brandon,Misch,0.05555555555555555
Brandon,Moritz,0.041666666666666664
Brandon,Mou K.,0.0
Brandon,Rainer,0.5
Brandon,Rene,0.0
Brandon,Walder,0.041666666666666664
Cafi,Alan,0.0
Cafi,Throwaway,0.06666666666666667
Cafi,Aze,0.0
Cafi,Brandon,0.08
Cafi,Chris,0.0
Cafi,Connor,0.0
Cafi,Dave,0.15
Cafi,Davide,0.0
Cafi,Flex,0.0
Cafi,Flo,0.0
Cafi,Franz,0.0
Cafi,Hans,0.0
